,post_code,post_code_suffix
0,United States,98002
1,98178,5177
2,98108,1538
3,98032,2856
4,98168,4540
5,98168,4766
6,98144,6101
7,98178,3647
8,98118,4321
9,98115,5808
10,98001,3854
11,98052,2899
12,98052,7201
13,98052,7207
14,98052,7223
15,98052,7222
16,98052,7247
17,98052,2790
18,98052,2791
19,98108,4516
20,98108,4518
21,98002,5115
22,98002,4646
23,98052,3142
24,98052,3119
25,98052,3141
26,98052,2701
27,98052,2702
28,98040,4210
29,98040,4225
30,98136,2225
31,98136,2250
32,98136,2220
33,98168,4316
34,98188,2115
35,98188,2230
36,98040,3826
37,98023,2306
38,United States,98116
39,98116,2836
40,98116,2247
41,98116,2242
42,98116,2231
43,98126,2839
44,98126,3023
45,98136,1602
46,98136,1602
47,98126,3024
48,98030,6645
49,98027,2910
50,98027,2909
51,98146,3345
52,98055,5104
53,98055,5250
54,98103,4618
55,98103,4618
56,98122,3358
57,98003,9141
58,98023,2715
59,98031,1309
60,98023,5426
61,98023,5415
62,98023,5527
63,98023,5425
64,98023,5447
65,98023,5442
66,98023,5442
67,98023,5407
68,98023,5451
69,98023,6405
70,98023,6480
71,98177,5145
72,98177,5118
73,United States,98023
74,98023,7734
75,98023,7742
76,98168,2756
77,98028,2729
78,98028,2742
79,98028,2742
80,98028,2049
81,98028,2622
82,98028,2727
83,98028,1828
84,United States,98116
85,United States,98070
86,98042,9417
87,98042,9431
88,98042,9412
89,98070,6408
90,98107,2854
91,98106,2743
92,98106,2649
93,98106,2640
94,98106,2616
95,98146,1907
96,United States,98146
97,98146,3707
98,98126,4101
99,98146,1338
100,98146,1277
101,98106,2743
102,98146,1705
103,98059,5324
104,98059,5936
105,98059,5327
106,98059,5331
107,98075,9288
108,98177,2554
109,98177,2704
110,98177,2735
111,United States,98177
112,98177,2535
113,98177,2705
114,98177,2041
115,98177,2762
116,98177,2636
117,98177,2710
118,98177,2636
119,98177,2710
120,98177,3027
121,98028,2610
122,98028,2105
123,98072,8250
124,98072,8249
125,98133,3303
126,98168,1682
127,98116,3122
128,98116,3115
129,98116,2803
130,98116,2707
131,98116,3108
132,98144,4860
133,98133,7423
134,98133,7417
135,98178,3410
136,United States,98178
137,98034,3329
138,98040,4424
139,98040,4420
140,98040,4138
141,98040,4314
142,98040,4421
143,98040,4418
144,98040,4422
145,98040,4452
146,98045,9232
147,98045,8755
148,98045,8755
149,98116,4119
150,98070,3314
151,98011,4543
152,98011,6834
153,98011,6834
154,98011,6843
155,98011,6832
156,98005,1613
157,98005,1643
158,98053,9166
159,98053,9142
160,United States,98053
161,98053,9137
162,United States,98053
163,98053,9142
164,98053,9147
165,98053,3119
166,98053,3119
167,98014,9517
168,98014,9521
169,98014,9511
170,98053,9132
171,98053,9131
172,98053,9132
173,98053,9083
174,98053,9077
175,98133,6636
176,98022,8850
177,98001,2115
178,98001,2143
179,98042,4568
180,98038,8830
181,98038,8826
182,98146,1126
183,98146,1124
184,98146,1015
185,98118,5807
186,98059,6207
187,98059,4116
188,United States,98065
189,98008,5018
190,United States,98007
191,98007,6325
192,98075,9454
193,United States,98075
194,United States,98075
195,98117,4627
196,98177,2238
197,98177,2815
198,98177,2804
199,98177,2723
200,98177,2243
201,98177,2166
202,98177,2345
203,United States,98072
204,98188,5210
205,98188,5243
206,98188,5251
207,98188,5055
208,98188,5437
209,98188,5429
210,98166,2819
211,98166,3415
212,United States,98004
213,98004,2032
214,98003,6183
215,United States,98004
216,98004,1743
217,98004,1718
218,98004,1723
219,98042,6193
220,98042,6119
221,98042,6149
222,98042,6117
223,98072,4618
224,98072,4618
225,98146,1026
226,98146,3614
227,98146,3606
228,98072,7940
229,98072,7926
230,98002,8741
231,98168,2402
232,98168,2472
233,98177,3115
234,98177,3821
235,98177,3428
236,United States,98177
237,98177,3510
238,98008,2350
239,98008,2324
240,98008,2225
241,98008,2239
242,98008,2124
243,98103,3117
244,98008,3215
245,98199,2818
246,98199,3407
247,98199,3424
248,98199,3424
249,98199,3458
250,98199,3437
251,98144,4817
252,98144,4817
253,98144,4848
254,98030,6320
255,98028,4370
256,98028,4365
257,98166,4032
258,98146,1666
259,98146,1668
260,98146,1658
261,98056,4303
262,98075,8603
263,98075,8604
264,98011,3694
265,98077,6741
266,98077,7573
267,98077,6778
268,98001,2721
269,98001,2700
270,98001,2715
271,98001,2723
272,98001,2718
273,98001,3317
274,98001,2726
275,98092,1921
276,98002,7045
277,98075,9479
278,98075,9486
279,98075,9486
280,98075,8400
281,98075,8403
282,98075,6012
283,98133,9305
284,98103,3120
285,98103,3237
286,98136,1004
287,98136,1004
288,98136,1011
289,98136,1011
290,98136,1003
291,98042,6141
292,98024,8727
293,98074,4464
294,98074,4464
295,98074,4476
296,98074,4470
297,98092,9333
298,98042,9370
299,98092,2129
300,98092,2126
301,98051,9066
302,98040,5649
303,98040,5618
304,98198,5737
305,98042,3011
306,98058,7754
307,98038,8949
308,98038,8905
309,98118,5611
310,98059,3617
311,98059,4210
312,98059,4089
313,98059,3501
314,98027,8592
315,98027,8320
316,98027,4825
317,98116,3812
318,98116,3421
319,98116,3427
320,98075,8129
321,98052,1936
322,98033,5232
323,98033,5298
324,98033,5231
325,98052,6414
326,98053,8000
327,98155,2722
328,98155,2645
329,98155,2721
330,98077,7552
331,98115,6343
332,98115,6335
333,98034,3403
334,United States,98070
335,98052,6925
336,98053,2917
337,98052,3317
338,98052,3317
339,98056,8354
340,98040,4937
341,United States,98199
342,98199,1517
343,98199,1503
344,98199,1503
345,98004,7029
346,98198,7111
347,98115,7540
348,98115,7637
349,98146,1820
350,98146,1820
351,98133,5117
352,98023,3973
353,98023,3973
354,98023,3974
355,98133,5822
356,98178,2927
357,98118,4437
358,98133,5215
359,98133,5215
